name	cluster
<<<<df:Holmes-kdp:think-<<<<df:Drug-kdp:exist-df:fireplace>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/320">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/318">>	0
<<<<sl:Silas_Brown-kdp:hurt-sl:Silver_Blaze>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/326">>	0
<<<<df:window_of_Living_room-kgc:hasProperty-kdp:face>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/155">>	0
<<<<ag:cork_of_bottle-kdp:exist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/154">>	0
<<<<ci:Sutherland-kdp:say-<<<<ci:Holmes-kdp:find-ci:Hosmer>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/060">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/052">>	0
<<<<sb:Helen-kdp:leave-sb:house_of_Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/136">>	0
<<<<dm:Holmes-kdp:receive-dm:telegram>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/043">>	0
<<<<ag:Holmes-kdp:getOff-ag:home>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/165">>	0
<<<<sl:Ned_Hunter-kdp:report-<<<<sl:Edith_Baxter-kdp:say-<<<<sl:Edith_Baxter-kdp:teach-<<<<sl:Fitzroy_Simpson-kdp:exist-sl:King_s_Pyland_riding_ground>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/060">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/059">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/069">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	0
<<<<rp:Holmes-kdp:say-<<<<rp:Helper_boy-kdp:open-rp:door>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/279">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/271">>	0
<<<<ci:Windibank-kdp:escape-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/557">>	0
<<<<ci:Holmes-kdp:say-<<<<ci:Windibank-kdp:imply-<<<<owl:Nothing-kdp:happen-ci:Incident>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/529">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/528">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/510">>	0
<<<<rp:Percy_Trevelyan-kdp:say-<<<<rp:Percy_Trevelyan-kdp:mustPrepare-rp:Gold_to_hire_the_appearance_of_a_good_coach>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/035">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/030">>	0
<<<<ci:Sutherland-kdp:say-<<<<ci:Sutherland-kdp:meeting-ci:Hosmer>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/148">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/144">>	0
<<<<sb:Helen-kdp:beScared-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/002">>	0
<<<<rp:Blessington-kgc:hasProperty-kdp:exist>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/168a">>	0
<<<<ci:Windibank-kdp:say-<<<<ci:Windibank-kdp:notHave-ci:Time_wasted>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/454">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/453">>	0
<<<<ci:Sutherland-kdp:say-<<<<ci:Windibank-kdp:go-ci:France>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/132">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/130">>	0
<<<<ci:Sutherland-kdp:say-<<<<ci:Sutherland-kdp:process-ci:Up_to_20_sheets>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/109">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/100">>	0
<<<<cm:Morrison-kdp:notSay-cm:about_Henry>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/201">>	0
<<<<cm:Murphy-kdp:say-<<<<cm:Nancy-kdp:notArgue-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/023">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/022">>	0
<<<<sl:Ned_Hunter-kdp:report-<<<<sl:Ned_Hunter-kdp:cannotFind-sl:Fitzroy_Simpson>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/096">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/104">>	0
