name	label
<<<<cm:man-kgp:exist-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/151">>	151
<<<<dm:Dancing_dolls_A-kgp:drawn-dm:paper>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/001">>	001
<<<<sl:Criminal-kgp:erase-sl:Taste_of_opium>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/356">>	356
<<<<sb:Julia-kgp:have-sb:burned_match>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SpeckledBand/88">>	88
<<<<ci:Sutherland-kgp:handOver-ci:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/062">>	062
<<<<ci:Holmes-kgp:locate-ci:Hozma>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/060">>	060
<<<<sl:John_Straker-kgp:notHave-sl:children>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/028">>	028
<<<<sl:John_Straker-kgp:hire-sl:Edith_Baxter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/029">>	029
<<<<sl:blood-kgp:put-sl:knife>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/132">>	132
<<<<sl:left_Hand_of_John_Straker-kgp:grab-sl:tie>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/133">>	133
<<<<ci:Hozma-kgp:shy-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/189">>	189
<<<<ci:Hozma-kgp:shy-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/192">>	192
<<<<rp:Blessington-kgp:manage-rp:Money>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/184">>	184
<<<<ci:Sutherland-kgp:have-ci:Earning>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/097">>	097
<<<<sl:Fitzroy_Simpson-kgp:tryToGive-sl:10_GBP>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/196">>	196
<<<<cm:Nancy-kgp:criminal_irresponsibility-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/121">>	121
<<<<ag:Sir_Eustace_Brackenstall-kgp:sleep-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/112">>	112
<<<<ag:alarm-kgp:ring-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/111">>	111
<<<<sl:John_Straker-kgp:beSmashed-sl:forehead>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/388">>	388
<<<<cm:Teddy-kgp:hunt-cm:cobra>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/352">>	352
<<<<cm:Teddy-kgp:hunt-cm:cobra>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/353">>	353
<<<<sl:Fitzroy_Simpson-kgp:discard-sl:key_of_stable>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/201">>	201
<<<<sl:John_Straker-kgp:beMarried-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/026">>	026
<<<<sl:John_Straker-kgp:live-sl:House_of_John_Straker>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/027">>	027
