name	label
<<<<cm:Nancy-kgp:understand-<<<<cm:Berkeley-kgp:sell-cm:Henry>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/284">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/311">>	311
<<<<sl:Lord_Backwater-kgp:have-sl:riding_ground_of_Mapleton>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/033">>	33
<<<<rp:Holmes-kgp:guess-<<<<rp:letter-kgp:arrive-rp:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/213">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/212">>	212
<<<<df:reason_of_death_of_Mortimer-kgp:suicide-owl:Nothing>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/368">>	368
<<<<rp:Holmes-kgp:say-<<<<rp:Helper_boy-kgp:goUp-rp:Stairs>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/273">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/271">>	271
<<<<sl:Holmes-kgp:say-<<<<sl:Silver_Blaze-kgp:go-sl:Mapleton>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/269">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/268">>	268
<<<<ci:Windybank-kgp:getEngaged-ci:Sutherland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/518">>	518
<<<<sl:Edith_Baxter-kgp:tell-<<<<sl:Fitzroy_Simpson-kgp:wear-sl:Hunting_of_woolen_cloth>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/048">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/069">>	69
<<<<ag:Thought_of_Holmes-kgp:return-ag:Dining_room_of_Abbey_mansion>>-rdf:value-"http://kgc.knowledge-graph.jp/data/AbbeyGrange/164">>	164
<<<<sl:John_Straker-kgp:appoint-sl:two_young_men>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/022">>	22
<<<<ci:Sutherland-kgp:understand-ci:word_of_hozma>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/248">>	248
